Family,Genera,Neusa Hamada et al.,C.R. Lugo-Ortiz et al. 2010,C.Nieto 2016,"McCafferty, W. P. et al. 2008","Cruz, P. V. et al. 2014",Salles F. F. et al.2009,Lima L. R. et al. 2010,Neusa Hamada et al. 2010,C.R. Lugo-Ortiz et al. 1995,C.R. Lugo-Ortiz et al. 1997,"McCafferty, W. P. 1987","Cruz, P. V. et al. 2016",Salles F. F. et al.2009,"Lugo-Ortiz, C. R. et al. 1998","LUCAS R. C. LIMA, 2015",Zoologische Mededelingen,"Claudio G. Froehlich, 1969","MOLINERI, Carlos et al 2016,","SUN, L.  2008","Holzenthal, R. W. et al. 2015","Stark, B. et al. 2002","Holzenthal, R. W. et al. 2017","Philipson, G. N. et al. 1976","Holzenthal, R, W. etl al. (2009)","Wells, A. et al. (1985)",Yeon Jae Bae (1995),"Flint Jr, O. S. et al. (1971)","Dean, J. C. et al. (1989)"
Leptoceridae,Gênero A,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptoceridae,Nectopsyche,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptoceridae,Oecetis,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptoceridae,Triplectides,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptohyphidae,Amanahyphes,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptohyphidae,Leptohyphes,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptohyphidae,Macunahyphes,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptohyphidae,Traverhyphes,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptohyphidae,Tricorythodes,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptohyphidae,Tricorythopsis,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,aff. Hapsiphlebia,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,Askola,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,Farrodes,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,Fittkaulus,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,Hagenulopsis,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,Hydrosmilodon,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,Microphlebia,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,Miroculis,Branquial ,,,,,,,,,,,,,,Branquial,,,,,,,,,,,,,
Leptophlebiidae,Paramaka,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,Simothraulopsis,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,Terpides,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,Thraulodes,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,Tikuna,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,Ulmeritoides,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptophlebiidae,Ulmeritus,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odontoceridae,Marilia,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oligoneuriidae,Oligoneuria,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perlidae,Anacroneuria,,,,,,,,,,,,,,,,,,,,,Cutânea,,,,,,,
Perlidae,Enderleina,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perlidae,Macrogynoplax,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philopotamidae,Chimarra,,,,,,,,,,,,,,,,,,,,,,,,,,,Cutânea,
Polycentropodidae,Cernotina,,,,,,,,,,,,,,,,,,,,,,Cutânea,Cutânea,,,,,
Polycentropodidae,Cyrnellus,,,,,,,,,,,,,,,,,,,,,,,Cutânea,,,,,
Polycentropodidae,Nyctiophilax,,,,,,,,,,,,,,,,,,,,,,Cutânea,Cutânea,,,,,
Polycentropodidae,Polycentropus,,,,,,,,,,,,,,,,,,,,,,Cutânea,Cutânea,,,,,
Polycentropodidae,Polyplectropus,,,,,,,,,,,,,,,,,,,,,,,Cutânea,,,,,
Polymitarcyidae,Asthenopus,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymitarcyidae,Campsurus,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymitarcyidae,Hubbardipes,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymitarcyidae,Tortopsis,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polymitarcyidae,Tortopus,Branquial ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sericostomatidae,Notidobiella,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiphocentronidae,Xiphocentron/Machairocentron,,,,,,,,,,,,,,,,,,,,,,,,,,,,
